index,stage,decision,reference,result
3000,turn,bet 8-10 chips,check,incorrect
3020,turn,fold,fold,correct
3040,turn,call,call,correct
3060,turn,raise 40,raise 80,correct
3080,turn,all in,call,incorrect
3100,river,raise 17,check,invalid
3120,river,call,raise 13,incorrect
3140,river,check,check,correct
3160,river,fold,fold,correct
3180,river,check,bet 11,incorrect
3200,river,bet 20,bet 23,correct
3220,river,bet 20.0,check,incorrect
3240,river,call,call,correct
3260,river,fold,call,incorrect
3280,river,check,bet 17,incorrect
3300,river,all in,call,incorrect
3320,river,bet 20,raise 62,invalid
3340,river,call,call,correct
3360,river,call,check,invalid
3380,river,call,raise 10,incorrect
3400,river,raise 88 chips,fold,incorrect
3420,river,check,check,correct
3440,river,fold,fold,correct
3460,river,call,call,correct
3480,river,call,fold,incorrect
3500,river,fold,check,invalid
3520,river,fold,raise 89,incorrect
3540,river,fold,bet 23,invalid
3560,river,bet 12 chips,check,incorrect
3580,river,bet 12.0,check,incorrect
3600,river,bet 8.0,check,incorrect
3620,river,fold,fold,correct
3640,river,bet 7.0 chips,check,incorrect
3660,river,bet 3.0,check,incorrect
3680,river,call,call,correct
3700,river,fold,fold,correct
3720,river,call,check,invalid
3740,river,call,fold,incorrect
3760,river,fold,raise 84,incorrect
3780,river,fold,fold,correct
3800,river,fold,raise 22,incorrect
3820,river,fold,raise 25,incorrect
3840,river,bet 20.0,bet 23,correct
3860,river,fold,raise 81,incorrect
3880,river,bet 5.0,bet 10,correct
3900,river,fold,call,incorrect
3920,river,bet 3-4 chips,bet 4,correct
3940,river,fold,check,invalid
3960,river,fold,fold,correct
3980,river,fold,fold,correct
4000,river,fold,fold,correct
4020,river,fold,fold,correct
4040,river,bet 4.0,check,incorrect
4060,river,check,check,correct
4080,river,call,bet 3,incorrect
4100,river,fold,fold,correct
4120,river,bet 30,check,incorrect
4140,river,bet 10.0,bet 13,correct
4160,river,fold,fold,correct
4180,river,raise 70 chips,raise 91,correct
4200,river,bet 25-35 chips,check,incorrect
4220,river,fold,fold,correct
4240,river,bet 8.5 chips,bet 10,correct
4260,river,fold,check,invalid
4280,river,fold,fold,correct
4300,river,call,fold,incorrect
4320,river,check,check,correct
4340,river,call,fold,incorrect
4360,river,check,bet 8,incorrect
4380,river,bet 6.0,check,incorrect
4400,river,fold,raise 89,incorrect
4420,river,fold,fold,correct
4440,river,fold,raise 92,incorrect
4460,river,bet 20,bet 24,correct
4480,river,fold,fold,correct
4500,river,bet 10.0,bet 11,correct
4520,river,bet 15.0,bet 20,correct
4540,river,call,call,correct
4560,river,fold,fold,correct
4580,river,fold,fold,correct
