index,stage,decision,reference,result
2500,turn,bet 15.0,check,incorrect
2520,turn,call,raise 38,incorrect
2540,turn,raise 37,call,incorrect
2560,turn,call,call,correct
2580,turn,raise 34.5,raise 90,semi-correct
2600,turn,call,call,correct
2620,turn,call,call,correct
2640,turn,fold,fold,correct
2660,turn,call,call,correct
2680,turn,bet 3.0 chips,check,incorrect
2700,turn,call,check,invalid
2720,turn,call,fold,incorrect
2740,turn,fold,call,incorrect
2760,turn,fold,fold,correct
2780,turn,fold,raise 86,incorrect
2800,turn,bet 2.5,bet 3,correct
2820,turn,fold,call,incorrect
2840,turn,call,check,invalid
2860,turn,call,fold,incorrect
2880,turn,bet 3.0,check,incorrect
2900,turn,raise 15,call,incorrect
2920,turn,call,call,correct
2940,turn,fold,call,incorrect
2960,turn,fold,fold,correct
2980,turn,call,check,invalid
3000,turn,bet 8 chips,check,incorrect
3020,turn,call,fold,incorrect
3040,turn,fold,call,incorrect
3060,turn,call,raise 80,incorrect
3080,turn,fold,call,incorrect
3100,river,bet 30,check,incorrect
3120,river,call,raise 13,incorrect
3140,river,bet 8.0,check,incorrect
3160,river,fold,fold,correct
3180,river,bet 10.0,bet 11,correct
3200,river,call,bet 23,incorrect
3220,river,bet 25.0,check,incorrect
3240,river,raise 15,call,incorrect
3260,river,fold,call,incorrect
3280,river,bet 12.0,bet 17,correct
3300,river,raise all in,call,incorrect
3320,river,bet 25-35 chips,raise 62,invalid
3340,river,call,call,correct
3360,river,fold,check,invalid
3380,river,call,raise 10,incorrect
3400,river,raise 88 chips,fold,incorrect
3420,river,bet 30 chips,check,incorrect
3440,river,fold,fold,correct
3460,river,fold,call,incorrect
3480,river,fold,fold,correct
3500,river,call,check,invalid
3520,river,call,raise 89,incorrect
3540,river,bet 20.0,bet 23,correct
3560,river,check,check,correct
3580,river,bet 15,check,incorrect
3600,river,bet 8,check,incorrect
3620,river,fold,fold,correct
3640,river,bet 6-8 chips,check,incorrect
3660,river,bet 3.0 chips,check,incorrect
3680,river,call,call,correct
3700,river,fold,fold,correct
3720,river,bet 20,check,incorrect
3740,river,fold,fold,correct
3760,river,fold,raise 84,incorrect
3780,river,fold,fold,correct
3800,river,fold,raise 22,incorrect
3820,river,fold,raise 25,incorrect
3840,river,check,bet 23,incorrect
3860,river,fold,raise 81,incorrect
3880,river,fold,bet 10,invalid
3900,river,fold,call,incorrect
3920,river,bet 3.0 chips,bet 4,correct
3940,river,call,check,invalid
3960,river,call,fold,incorrect
3980,river,fold,fold,correct
4000,river,fold,fold,correct
4020,river,fold,fold,correct
4040,river,bet 2.0,check,incorrect
4060,river,check,check,correct
4080,river,check,bet 3,incorrect
4100,river,fold,fold,correct
4120,river,bet 25.0,check,incorrect
4140,river,bet 10,bet 13,correct
4160,river,raise x,fold,invalid
4180,river,raise 80 chips,raise 91,correct
4200,river,fold,check,invalid
4220,river,fold,fold,correct
4240,river,bet 8-10 ::: betting around 8-10 chips for value from weaker hands like one pair or two pair hands would be optimal. it's a size that can get called by worse hands while not risking too much against a potential stronger hand.,bet 10,incorrect
4260,river,check,check,correct
4280,river,fold,fold,correct
4300,river,call,fold,incorrect
4320,river,bet 20,check,incorrect
4340,river,call,fold,incorrect
4360,river,bet 5.0,bet 8,correct
4380,river,bet 5.0,check,incorrect
4400,river,fold,raise 89,incorrect
4420,river,call,fold,incorrect
4440,river,fold,raise 92,incorrect
4460,river,call,bet 24,incorrect
4480,river,fold,fold,correct
4500,river,bet 10.0,bet 11,correct
4520,river,bet 6.0,bet 20,semi-correct
4540,river,fold,call,incorrect
4560,river,fold,fold,correct
4580,river,fold,fold,correct
