index,stage,decision,reference,result
3000,turn,bet 8.0,check,incorrect
3020,turn,call,fold,incorrect
3040,turn,fold,call,incorrect
3060,turn,raise 39,raise 80,semi-correct
3080,turn,fold,call,incorrect
3100,river,bet 25,check,incorrect
3120,river,call,raise 13,incorrect
3140,river,fold,check,invalid
3160,river,fold,fold,correct
3180,river,check,bet 11,incorrect
3200,river,fold,bet 23,invalid
3220,river,fold,check,invalid
3240,river,call,call,correct
3260,river,fold,call,incorrect
3280,river,bet 8,bet 17,semi-correct
3300,river,raise 40,call,incorrect
3320,river,call,raise 62,incorrect
3340,river,call,call,correct
3360,river,call,check,invalid
3380,river,raise (suggested raise size: around 10-14 chips),raise 10,invalid
3400,river,fold,fold,correct
3420,river,check,check,correct
3440,river,fold,fold,correct
3460,river,fold,call,incorrect
3480,river,fold,fold,correct
3500,river,fold,check,invalid
3520,river,raise x,raise 89,invalid
3540,river,bet 20.0,bet 23,correct
3560,river,check,check,correct
3580,river,bet 15.0,check,incorrect
3600,river,bet 8 chips,check,incorrect
3620,river,fold,fold,correct
3640,river,bet 8 \n,check,incorrect
3660,river,bet 2.0,check,incorrect
3680,river,call,call,correct
3700,river,fold,fold,correct
3720,river,bet 20.0,check,incorrect
3740,river,fold,fold,correct
3760,river,call,raise 84,incorrect
3780,river,fold,fold,correct
3800,river,fold,raise 22,incorrect
3820,river,fold,raise 25,incorrect
3840,river,check,bet 23,incorrect
3860,river,fold,raise 81,incorrect
3880,river,check,bet 10,incorrect
3900,river,fold,call,incorrect
3920,river,bet 3.5 chips,bet 4,correct
3940,river,fold,check,invalid
3960,river,fold,fold,correct
3980,river,fold,fold,correct
4000,river,fold,fold,correct
4020,river,fold,fold,correct
4040,river,bet 4.0,check,incorrect
4060,river,fold,check,invalid
4080,river,check,bet 3,incorrect
4100,river,fold,fold,correct
4120,river,bet 25.0,check,incorrect
4140,river,bet 10,bet 13,correct
4160,river,raise 20,fold,incorrect
4180,river,raise 73 chips,raise 91,correct
4200,river,fold,check,invalid
4220,river,fold,fold,correct
4240,river,bet 8-9 chips,bet 10,correct
4260,river,bet 20,check,incorrect
4280,river,fold,fold,correct
4300,river,fold,fold,correct
4320,river,check,check,correct
4340,river,fold,fold,correct
4360,river,check,bet 8,incorrect
4380,river,bet 6.0,check,incorrect
4400,river,fold,raise 89,incorrect
4420,river,fold,fold,correct
4440,river,fold,raise 92,incorrect
4460,river,bet 25.0,bet 24,correct
4480,river,fold,fold,correct
4500,river,bet 10.0,bet 11,correct
4520,river,check,bet 20,incorrect
4540,river,fold,call,incorrect
4560,river,fold,fold,correct
4580,river,fold,fold,correct
